Energy	Efficiency(GR)	alpha(norm)
4425	0.6363205588	89.37702177
4430	0.6322448879	89.37830577
4435	0.6278897833	89.37958139
4440	0.6233510228	89.3808494
4445	0.6187391659	89.38210985
4450	0.6141594469	89.38336114
4455	0.6099290287	89.39060464
4460	0.6069504074	89.39184053
4465	0.6044279694	89.3930692
4470	0.6024379891	89.39429033
4475	0.6010280057	89.39550381
4480	0.6002136066	89.39670959
4485	0.5999794792	89.39790767
4490	0.600284221	89.39909805
4495	0.6010616523	89.40027957
4500	0.6022684483	89.4074524
4505	0.6055760215	89.40861747
4510	0.6090583121	89.40977425
4515	0.6125698526	89.41092239
4520	0.6159935562	89.41206272
4525	0.6192160444	89.41319529
4530	0.6221397881	89.41432023
4535	0.6247066155	89.4154373
4540	0.6268721362	89.41654648
4545	0.6286168933	89.41764887
4550	0.6299347585	89.41874332
4555	0.6308388867	89.4198298
4560	0.631353519	89.42090794
4565	0.6315150036	89.42197796
4570	0.6313655265	89.42303995
4575	0.630942963	89.42409273
4580	0.6302937795	89.42513639
4585	0.6294706189	89.42617195
4590	0.6285108578	89.42719896
4595	0.6274413859	89.42821648
4600	0.626313162	89.42922585
4605	0.6251525835	89.43022702
4610	0.6242906763	89.43722152
4615	0.6244572775	89.43820784
4620	0.6245702525	89.43918586
4625	0.624607003	89.44015567
4630	0.624545049	89.4411172
4635	0.6243649802	89.44207032
4640	0.6240493262	89.44301457
4645	0.6235843215	89.44394923
4650	0.6229740501	89.44487541
4655	0.6222199327	89.44579308
4660	0.621308765	89.44670086
4665	0.6202661473	89.44759994
4670	0.6191045153	89.44849042
4675	0.6178283014	89.44937204
4680	0.6164494411	89.45024479
4685	0.6149850456	89.45110883
4690	0.6134449453	89.45196414
4695	0.6118384766	89.45281084
4700	0.610173112	89.45364871
4705	0.6084562282	89.4544777
4710	0.6073961919	89.46129785
4715	0.6067711958	89.46210906
4720	0.6060834467	89.46291128
4725	0.6053311283	89.46370447
4730	0.6045088516	89.46448866
4735	0.6036128231	89.46526371
4740	0.6026332236	89.46602957
4745	0.6015421525	89.46678552
4750	0.6003330567	89.46753191
4755	0.5989969537	89.46826899
4760	0.5975178099	89.46899634
4765	0.5958776753	89.46971267
4770	0.5940834328	89.47041956
4775	0.5921379721	89.47111699
4780	0.5900515526	89.47180487
4785	0.5878414964	89.47248317
4790	0.585530734	89.47315183
4795	0.5831459214	89.47381087
4800	0.5807539288	89.48046121
4805	0.5795112966	89.48110173
4810	0.5782868026	89.48173235
4815	0.5770602679	89.48235286
4820	0.5758140707	89.48296319
4825	0.5745392247	89.48356344
4830	0.5732137235	89.48415356
4835	0.5718094484	89.484733
4840	0.5703127762	89.48530208
4845	0.56975199	89.49186085
4850	0.569054801	89.4924092
4855	0.5681703667	89.4929469
4860	0.5671068853	89.4934741
4865	0.5658744595	89.4939907
4870	0.5644842348	89.4944965
4875	0.5629525012	89.49499143
4880	0.5612978469	89.49547555
4885	0.5595334336	89.49594881
4890	0.5576534589	89.49641051
